,year,province,immigrant_status,labour_force_character,gender,age_group,metrics,total
102485,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,75.0
102486,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,354.0
102487,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,45.0
102489,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,80.0
102490,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,397.0
102491,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,55.0
102497,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,42.0
102498,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,309.0
102499,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,20.0
102501,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,40.0
102502,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,270.0
102503,2018,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,12.0
102509,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,40.0
102510,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,292.0
102511,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,17.0
102513,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,35.0
102514,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,238.0
102515,2018,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,10.0
102521,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,24.0
102522,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,274.0
102523,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,15.0
102525,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,17.0
102526,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,187.0
102527,2018,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,9.0
102533,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,16.0
102534,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,18.0
102535,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,2.0
102537,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,18.0
102538,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,52.0
102539,2018,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,
102545,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,3.0
102546,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,18.0
102547,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,3.0
102549,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,5.0
102550,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,31.0
102551,2018,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,2.0
102557,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,33.0
102558,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,44.0
102559,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,25.0
102561,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,41.0
102562,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,127.0
102563,2018,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,42.0
103205,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,76.0
103206,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,361.0
103207,2018,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,43.0
